PXD040399	10117404	Rural hospitals' viability and strategic responses. 	Systemic LRG1 expression in melanoma is associated with disease progression and recurrence	LRG1, checkpoint inhibitor, melanoma, serum, systemic immune suppression	In 1989 the Catholic Health Association, in conjunction with the University of Iowa Center for Health Services Research, surveyed chief executive officers (CEOs) of rural hospitals regarding their hospital's viability and strategic behaviors and orientations. An extensive questionnaire was sent to the CEOs of all Catholic, all other religious not-for-profit, and all investor-owned rural hospitals, as well as to a 50 percent random sample of government and other not-for-profit rural hospitals. CEOs on average perceived that their hospital's viability relative to that of other rural hospitals was higher in 1989 than it had been in 1987. Ninety-four percent of hospitals whose CEOs perceived an increase in viability had been medium- or low-viability hospitals two years earlier. Thus, despite reports of deteriorating conditions for rural hospitals, rural hospital CEOs appeared to be relatively optimistic regarding their institution's viability. Changes in strategic direction accompanied these perceived increases in viability. The predominant strategic orientation adopted by rural hospitals in 1987 was that of the defender, but many hospitals that used this approach switched to the analyzer orientation by 1989. Significant shifts also occurred toward the reactor orientation from the analyzer and defender orientations. A greater percentage of hospitals with a perceived increase in viability between 1987 and 1989 altered their organizational role. The most common change for these hospitals was from limited care to basic care.
PXD004111	27143358	Quantitative Analysis of Dynamic Protein Interactions during Transcription Reveals a Role for Casein Kinase II in Polymerase-associated Factor (PAF) Complex Phosphorylation and Regulation of Histone H2B Monoubiquitylation. 	FACT, PAF-C, and CKII	Casein kinase II, FACT, PAF Complex, RNA polymerase II, phosphorylation, transcription	Using affinity purification MS approaches, we have identified a novel role for casein kinase II (CKII) in the modification of the polymerase associated factor complex (PAF-C). Our data indicate that the facilitates chromatin transcription complex (FACT) interacts with CKII and may facilitate PAF complex phosphorylation. Posttranslational modification analysis of affinity-isolated PAF-C shows extensive CKII phosphorylation of all five subunits of PAF-C, although CKII subunits were not detected as interacting partners. Consistent with this, recombinant CKII or FACT-associated CKII isolated from cells can phosphorylate PAF-C in vitro, whereas no intrinsic kinase activity was detected in PAF-C samples. Significantly, PAF-C purifications combined with stable isotope labeling in cells (SILAC) quantitation for PAF-C phosphorylation from wild-type and CKII temperature-sensitive strains (cka1Delta cka2-8) showed that PAF-C phosphorylation at consensus CKII sites is significantly reduced in cka1Delta cka2-8 strains. Consistent with a role of CKII in FACT and PAF-C function, we show that decreased CKII function in vivo results in decreased levels of histone H2B lysine 123 monoubiquitylation, a modification dependent on FACT and PAF-C. Taken together, our results define a coordinated role of CKII and FACT in the regulation of RNA polymerase II transcription through chromatin via phosphorylation of PAF-C.
PXD002884	27143409	The Pathogenesis of the Demyelinating Form of Guillain-Barre Syndrome (GBS): Proteo-peptidomic and Immunological Profiling of Physiological Fluids. 	The pathogenesis of Guillain-Barre syndrome: peptidomic profiling of physiological fluids	AIDP, Guillain-Barre syndrome, cerebrospinal fluid, peptidome	Acute inflammatory demyelinating polyneuropathy (AIDP) - the main form of Guillain-Barre syndrome-is a rare and severe disorder of the peripheral nervous system with an unknown etiology. One of the hallmarks of the AIDP pathogenesis is a significantly elevated cerebrospinal fluid (CSF) protein level. In this paper CSF peptidome and proteome in AIDP were analyzed and compared with multiple sclerosis and control patients. A total protein concentration increase was shown to be because of even changes in all proteins rather than some specific response, supporting the hypothesis of protein leakage from blood through the blood-nerve barrier. The elevated CSF protein level in AIDP was complemented by activization of protein degradation and much higher peptidome diversity. Because of the studies of the acute motor axonal form, Guillain-Barre syndrome as a whole is thought to be associated with autoimmune response against neurospecific molecules. Thus, in AIDP, autoantibodies against cell adhesion proteins localized at Ranvier's nodes were suggested as possible targets in AIDP. Indeed, AIDP CSF peptidome analysis revealed cell adhesion proteins degradation, however no reliable dependence on the corresponding autoantibodies levels was found. Proteome analysis revealed overrepresentation of Gene Ontology groups related to responses to bacteria and virus infections, which were earlier suggested as possible AIDP triggers. Immunoglobulin blood serum analysis against most common neuronal viruses did not reveal any specific pathogen; however, AIDP patients were more immunopositive in average and often had polyinfections. Cytokine analysis of both AIDP CSF and blood did not show a systemic adaptive immune response or general inflammation, whereas innate immunity cytokines were up-regulated. To supplement the widely-accepted though still unproven autoimmunity-based AIDP mechanism we propose a hypothesis of the primary peripheral nervous system damaging initiated as an innate immunity-associated local inflammation following neurotropic viruses egress, whereas the autoantibody production might be an optional complementary secondary process.
PXD003781	27145088	Parallel reaction monitoring using quadrupole-Orbitrap mass spectrometer: Principle and applications. 	Parallel reaction monitoring using quadrupole-orbitrap mass spectrometer: principle and applications	DDA, PRM, exploratory study	Targeted mass spectrometry-based approaches are nowadays widely used for quantitative proteomics studies and more recently have been implemented on high resolution/accurate mass (HRAM) instruments resulting in a considerable performance improvement. More specifically, the parallel reaction monitoring technique (PRM) performed on quadrupole-Orbitrap mass spectrometers, leveraging the high resolution and trapping capabilities of the instrument, offers a clear advantage over the conventional selected reaction monitoring (SRM) measurements executed on triple quadrupole instruments. Analyses performed in HRAM mode allow for an improved discrimination between signals derived from analytes and those resulting from matrix interferences translating in the reliable quantification of low abundance components. The purpose of the study defines various implementation schemes of PRM, namely: (i) exploratory experiments assessing the detectability of very large sets of peptides (100-1000), (ii) wide-screen analyses using (crude) internal standards to obtain statistically meaningful (relative) quantitative analyses, and (iii) precise/accurate quantification of a limited number of analytes using calibrated internal standards. Each of the three implementation schemes requires specific acquisition methods with defined parameters to appropriately control the acquisition during the actual peptide elution. This tutorial describes the different PRM approaches and discusses their benefits and limitations in terms of quantification performance and confidence in analyte identification.
PXD002678	27146306	Gluten-specific antibodies of celiac disease gut plasma cells recognize long proteolytic fragments that typically harbor T-cell epitopes. 	Gluten-specific antibodies of celiac disease gut plasma cells recognize long proteolytic fragments that typically harbor T-cell epitopes	Celiac disease, epitopes, gliadin, monoclonal antibodies	This study aimed to identify proteolytic fragments of gluten proteins recognized by recombinant IgG1 monoclonal antibodies generated from single IgA plasma cells of celiac disease lesions. Peptides bound by monoclonal antibodies in complex gut-enzyme digests of gluten treated with the deamidating enzyme transglutaminase 2, were identified by mass spectrometry after antibody pull-down with protein G beads. The antibody bound peptides were long deamidated peptide fragments that contained the substrate recognition sequence of transglutaminase 2. Characteristically, the fragments contained epitopes with the sequence QPEQPFP and variants thereof in multiple copies, and they typically also harbored many different gluten T-cell epitopes. In the pull-down setting where antibodies were immobilized on a solid phase, peptide fragments with multivalent display of epitopes were targeted. This scenario resembles the situation of the B-cell receptor on the surface of B cells. Conceivably, B cells of celiac disease patients select gluten epitopes that are repeated multiple times in long peptide fragments generated by gut digestive enzymes. As the fragments also contain many different T-cell epitopes, this will lead to generation of strong antibody responses by effective presentation of several distinct T-cell epitopes and establishment of T-cell help to B cells.
PXD003485	27147131	Detergent-Assisted Glycoprotein Capture: A Versatile Tool for In-Depth N-Glycoproteome Analysis. 	Detergents assisted glycoprotein capture	HEK 293, LC-MS, N-glycoproteome, human serum	Large-scale N-glycoproteome studies have been hindered by poor solubility of hydrophobic membrane proteins and the complexity of proteome samples. Herein, we developed a detergent-assisted glycoprotein capture method to reduce these issues by conducting hydrazide chemistry-based glycoprotein capture in the presence of strong detergents such as sodium dodecyl sulfate and Triton X-100. The strong detergents helped to solubilize hydrophobic membrane proteins and then increased the access of hydrazide groups to oxidized glycoproteins, thus increasing the coverage of the N-glycoproteome. Compared with the conventional glycopeptide capture method, the detergent-assisted glycoprotein capture approach nearly doubled the number of N-glycosylation sites identified from HEK 293T cells with improved specificity. Application of this approach in the larger scale N-glycoproteomics analysis of the HEK 293T cell membrane led to the identification of 2253 unique N-glycosites from 953 proteins. Furthermore, the application of this approach to human serum resulted in the identification of 850 N-glycosylation sites without any immunodepletion or fractionation. Overall, the detergent-assisted glycoprotein capture method simplified the capture process, and it increased the number of sites observed on both hydrophobic membrane proteins and hydrophilic secreted proteins.
PXD003126	27147532	Community proteomics provides functional insight into polyhydroxyalkanoate production by a mixed microbial culture cultivated on fermented dairy manure. 	Proteomic investigation of a mixed microbial culture synthesizing polyhydroxyalkanoates from fermented dairy manure under aerobic feast-famine conditions	Metaproteomics, mixed microbial culture, polyhydroxyalkanoates, two-dimensional electrophoresis	Polyhydroxyalkanoates (PHAs) are bio-based, biodegradable polyesters that can be produced from organic-rich waste streams using mixed microbial cultures (MMCs). To maximize PHA production, MMCs are enriched for bacteria with a high polymer storage capacity through the application of aerobic dynamic feeding (ADF) in a sequencing batch reactor (SBR), which consequently induces a feast-famine metabolic response. Though the feast-famine response is generally understood empirically at a macro-level, the molecular level is less refined. The objective of this study was to investigate the microbial community composition and proteome profile of an enriched MMC cultivated on fermented dairy manure. The enriched MMC exhibited a feast-famine response and was capable of producing up to 40 % (wt. basis) PHA in a fed-batch reactor. High-throughput 16S rRNA gene sequencing revealed a microbial community dominated by Meganema, a known PHA-producing genus not often observed in high abundance in enrichment SBRs. The application of the proteomic methods two-dimensional electrophoresis and LC-MS/MS revealed PHA synthesis, energy generation, and protein synthesis prominently occurring during the feast phase, corroborating bulk solution variable observations and theoretical expectations. During the famine phase, nutrient transport, acyl-CoA metabolism, additional energy generation, and housekeeping functions were more pronounced, informing previously under-determined MMC functionality under famine conditions. During fed-batch PHA production, acetyl-CoA acetyltransferase and PHA granule-bound phasin proteins were in increased abundance relative to the SBR, supporting the higher PHA content observed. Collectively, the results provide unique microbial community structural and functional insight into feast-famine PHA production from waste feedstocks using MMCs.
PXD003292	27147818	Proteomic Changes in the Plasma of Broiler Chickens with Femoral Head Necrosis. 	Chicken plasma proteome femoral head seperation	biomarkers, chicken, femoral head necrosis, plasma	Femoral head necrosis (FHN) is a skeletal problem in broiler chickens, where the proximal femoral head cartilage shows susceptibility to separation from its growth plate. The selected birds with FHN showed higher body weights and reduced plasma cholesterol. The proteomic differences in the plasma of healthy and FHN-affected chickens were explored using matrix-assisted laser desorption ionization time of flight mass spectrometry (MALDI-TOF-MS) and liquid chromatography/electrospray ionization-tandem mass spectrometry (LC-MS/MS) to prospect for protein biomarkers. We isolated two differentially expressed low molecular weight proteins and identified them by MALDI peptide mass fingerprinting as fibrinogen- and fetuin-derived peptides, respectively. These peptides were reduced in birds susceptible to femoral head problems. Quantitation of LC-MS/MS spectra showed elevated levels of gallinacin-9, apolipoprotein A1, and hemoglobin and reduced levels of alpha-1-acid glycoprotein, albumin, and SPINK7 proteins in FHN. These results suggest that the bodyweight and the lipid profiles along with the above proteins can be useful as noninvasive biomarkers of FHN.
PXD003764	27148221	Tyrosine 601 of Bacillus subtilis DnaK Undergoes Phosphorylation and Is Crucial for Chaperone Activity and Heat Shock Survival. 	Tyrosine 601 of Bacillus subtilis DnaK undergoes phosphorylation and is crucial for chaperone activity and heat shock survival	Quantitative phosphoproteomics, SILAC, bacterial protein-tyrosine kinases, molecular chaperons, protein folding, protein phosphorylation	In order to screen for cellular substrates of the Bacillus subtilis BY-kinase PtkA, and its cognate phosphotyrosine-protein phosphatase PtpZ, we performed a triple Stable Isotope Labeling by Amino acids in Cell culture-based quantitative phosphoproteome analysis. Detected tyrosine phosphorylation sites for which the phosphorylation level decreased in the DeltaptkA strain and increased in the DeltaptpZ strain, compared to the wild type (WT), were considered as potential substrates of PtkA/PtpZ. One of those sites was the residue tyrosine 601 of the molecular chaperone DnaK. We confirmed that DnaK is a substrate of PtkA and PtpZ by in vitro phosphorylation and dephosphorylation assays. In vitro, DnaK Y601F mutant exhibited impaired interaction with its co-chaperones DnaJ and GrpE, along with diminished capacity to hydrolyze ATP and assist the re-folding of denatured proteins. In vivo, loss of DnaK phosphorylation in the mutant strain dnaK Y601F, or in the strain overexpressing the phosphatase PtpZ, led to diminished survival upon heat shock, consistent with the in vitro results. The decreased survival of the mutant dnaK Y601F at an elevated temperature could be rescued by complementing with the WT dnaK allele expressed ectopically. We concluded that the residue tyrosine 601 of DnaK can be phosphorylated and dephosphorylated by PtkA and PtpZ, respectively. Furthermore, Y601 is important for DnaK chaperone activity and heat shock survival of B. subtilis.
PXD003735	27148305	Proteomic Analysis of a Poplar Cell Suspension Culture Suggests a Major Role of Protein S-Acylation in Diverse Cellular Processes. 	Populus Palmitoylome	Populus, S-acylation, spectral counting	S-acylation is a reversible post-translational modification of proteins known to be involved in membrane targeting, subcellular trafficking, and the determination of a great variety of functional properties of proteins. The aim of this work was to identify S-acylated proteins in poplar. The use of an acyl-biotin exchange method and mass spectrometry allowed the identification of around 450 S-acylated proteins, which were subdivided into three major groups of proteins involved in transport, signal transduction, and response to stress, respectively. The largest group of S-acylated proteins was the protein kinase superfamily. Soluble N-ethylmaleimide-sensitive factor-activating protein receptors, band 7 family proteins and tetraspanins, all primarily related to intracellular trafficking, were also identified. In addition, cell wall related proteins, including cellulose synthases and other glucan synthases, were found to be S-acylated. Twenty four of the identified S-acylated proteins were also enriched in detergent-resistant membrane microdomains, suggesting S-acylation plays a key role in the localization of proteins to specialized plasma membrane subdomains. This dataset promises to enhance our current understanding of the various functions of S-acylated proteins in plants.
PXD000947	27148881	A Proteomics Approach to Identify New Putative Cardiac Intercalated Disk Proteins. 	A Proteomics Approach to Identify New Cardiac Intercalated Disc Proteins	Rat, heart, intercalated disc	AIMS: Synchronous beating of the heart is dependent on the efficient functioning of the cardiac intercalated disk (ID). The ID is composed of a complex protein network enabling electrical continuity and chemical communication between individual cardiomyocytes. Recently, several different studies have shed light on increasingly prevalent cardiac diseases involving the ID. Insufficient knowledge of its composition makes it difficult to study these disease mechanisms in more detail and therefore here we aim expand the ID proteome. Here, using a combination of general membrane enrichment, in-depth quantitative proteomics and an intracellular location driven bioinformatics approach, we aim to discover new putative ID proteins in rat ventricular tissue. METHODS AND RESULTS: General membrane isolation, enriched amongst others also with ID proteins as based on presence of the established markers connexin-43 and n-cadherin, was performed using centrifugation. By mass spectrometry, we quantitatively evaluated the level of 3455 proteins in the enriched membrane fraction (EMF) and its counterpart, the soluble cytoplasmic fraction. These data were stringently filtered to generate a final set of 97 enriched, putative ID proteins. These included Cx43 and n-cadherin, but also many interesting novel candidates. We selected 4 candidates (Flotillin-2 (FLOT2), Nexilin (NEXN), Popeye-domain-containg-protein 2 (POPDC2) and thioredoxin-related-transmembrane-protein 2 (TMX2)) and confirmed their co-localization with n-cadherin in the ID of human and rat heart cryo-sections, and isolated dog cardiomyocytes. CONCLUSION: The presented proteomics dataset of putative new ID proteins is a valuable resource for future research into this important molecular intersection of the heart.
PXD000907	27150359	Mass spectrometric analysis of allergens in roasted walnuts. 	Roasted English Walnut Label-Free LC-MS/MS Quantification	Food Allergens, Thermal Processing, Walnut	Thermal processing of allergenic foods can induce changes in the foods' constituent allergens, but the effects of heat treatment are poorly defined. Like other commonly allergenic tree nuts, walnuts often undergo heat treatment (e.g. roasting or baking) prior to consumption. This study evaluated the changes in solubility and detectability of allergens from roasted walnuts using tandem mass spectrometry methods. Walnuts were roasted (132degreesC or 180degreesC for 5, 10, or 20min) and prepared for LC-MS/MS using sequential or simultaneous extraction and tryptic digestion protocols. The LC-MS/MS data analysis incorporated label-free quantification of relevant allergens and Maillard adduct screening. In some proteins (2S albumin, LTP, and the 7S globulin N-terminal region) minor changes in relative abundance were observed following roasting. The mature 7S and 11S globulins, however, showed significantly increased detection following roasting at 180degreesC for 20min when using the simultaneous extraction/digestion protocol, possibly due to increased digestibility of the proteins. The results of this study indicate that individual walnut allergens respond differently to thermal processing, and the detection of these proteins by LC-MS/MS is dependent on the protein in question, its susceptibility to proteolytic digestion, the degree of thermal processing, and the sample preparation methodology. SIGNIFICANCE: Understanding the behavior of food allergens in the context of relevant food matrices is critical for both food allergen management and for elucidating matrix and processing-associated factors influencing protein allergenicity. The use of mass spectrometry to identify food allergens and detect allergenic food residues has been increasingly developed due to the advantages associated with the direct, sequence-level analysis possible with MS. To date, however, few studies have implemented MS technology to analyze the effects of thermal processing on allergenic food proteins. The MS analysis results presented in this study revealed not only information about the molecular-level effects of roasting on walnut allergens but also data pertinent to the development of MS-based detection methods for walnut residues in food products.
PXD003473	27150525	Differential Neuroproteomic and Systems Biology Analysis of Spinal Cord Injury. 	DIFFERENTIAL NEUROPROTEOMIC AND SYSTEMS BIOLOGY ANALYSIS OF SPINAL CORD INJURY	Rat LC-MS/MS	Acute spinal cord injury (SCI) is a devastating condition with many consequences and no known effective treatment. Although it is quite easy to diagnose traumatic SCI, the assessment of injury severity and projection of disease progression or recovery are often challenging, as no consensus biomarkers have been clearly identified. Here rats were subjected to experimental moderate or severe thoracic SCI. At 24h and 7d postinjury, spinal cord segment caudal to injury center versus sham samples was harvested and subjected to differential proteomic analysis. Cationic/anionic-exchange chromatography, followed by 1D polyacrylamide gel electrophoresis, was used to reduce protein complexity. A reverse phase liquid chromatography-tandem mass spectrometry proteomic platform was then utilized to identify proteome changes associated with SCI. Twenty-two and 22 proteins were up-regulated at 24 h and 7 day after SCI, respectively; whereas 19 and 16 proteins are down-regulated at 24 h and 7 day after SCI, respectively, when compared with sham control. A subset of 12 proteins were identified as candidate SCI biomarkers - TF (Transferrin), FASN (Fatty acid synthase), NME1 (Nucleoside diphosphate kinase 1), STMN1 (Stathmin 1), EEF2 (Eukaryotic translation elongation factor 2), CTSD (Cathepsin D), ANXA1 (Annexin A1), ANXA2 (Annexin A2), PGM1 (Phosphoglucomutase 1), PEA15 (Phosphoprotein enriched in astrocytes 15), GOT2 (Glutamic-oxaloacetic transaminase 2), and TPI-1 (Triosephosphate isomerase 1), data are available via ProteomeXchange with identifier PXD003473. In addition, Transferrin, Cathepsin D, and TPI-1 and PEA15 were further verified in rat spinal cord tissue and/or CSF samples after SCI and in human CSF samples from moderate/severe SCI patients. Lastly, a systems biology approach was utilized to determine the critical biochemical pathways and interactome in the pathogenesis of SCI. Thus, SCI candidate biomarkers identified can be used to correlate with disease progression or to identify potential SCI therapeutic targets.
PXD003492	27155012	Elucidation of tonic and activated B-cell receptor signaling in Burkitt's lymphoma provides insights into regulation of cell survival. 	Elucidation of tonic and activated B cell receptor signaling in Burkitt's lymphoma provides insights into regulation of cell survival	B cell receptor, cancer biology, lymphoma, phosphoproteome	Burkitt's lymphoma (BL) is a highly proliferative B-cell neoplasm and is treated with intensive chemotherapy that, because of its toxicity, is often not suitable for the elderly or for patients with endemic BL in developing countries. BL cell survival relies on signals transduced by B-cell antigen receptors (BCRs). However, tonic as well as activated BCR signaling networks and their relevance for targeted therapies in BL remain elusive. We have systematically characterized and compared tonic and activated BCR signaling in BL by quantitative phosphoproteomics to identify novel BCR effectors and potential drug targets. We identified and quantified ~16,000 phospho-sites in BL cells. Among these sites, 909 were related to tonic BCR signaling, whereas 984 phospho-sites were regulated upon BCR engagement. The majority of the identified BCR signaling effectors have not been described in the context of B cells or lymphomas yet. Most of these newly identified BCR effectors are predicted to be involved in the regulation of kinases, transcription, and cytoskeleton dynamics. Although tonic and activated BCR signaling shared a considerable number of effector proteins, we identified distinct phosphorylation events in tonic BCR signaling. We investigated the functional relevance of some newly identified BCR effectors and show that ACTN4 and ARFGEF2, which have been described as regulators of membrane-trafficking and cytoskeleton-related processes, respectively, are crucial for BL cell survival. Thus, this study provides a comprehensive dataset for tonic and activated BCR signaling and identifies effector proteins that may be relevant for BL cell survival and thus may help to develop new BL treatments.
PXD002437	27155584	Proteome Profiling in Lung Injury after Hematopoietic Stem Cell Transplantation. 	Proteome Profiling in Lung Injury Following Hematopoietic Stem Cell Transplantation	2DLC-MS/MS, BALF, HSCT, Orbitrap, iTRAQ	Pulmonary complications due to infection and idiopathic pneumonia syndrome (IPS), a noninfectious lung injury in hematopoietic stem cell transplant (HSCT) recipients, are frequent causes of transplantation-related mortality and morbidity. Our objective was to characterize the global bronchoalveolar lavage fluid (BALF) protein expression of IPS to identify proteins and pathways that differentiate IPS from infectious lung injury after HSCT. We studied 30 BALF samples from patients who developed lung injury within 180 days of HSCT or cellular therapy transfusion (natural killer cell transfusion). Adult subjects were classified as having IPS or infectious lung injury by the criteria outlined in the 2011 American Thoracic Society statement. BALF was depleted of hemoglobin and 14 high-abundance proteins, treated with trypsin, and labeled with isobaric tagging for relative and absolute quantification (iTRAQ) 8-plex reagent for two-dimensional capillary liquid chromatography (LC) and data dependent peptide tandem mass spectrometry (MS) on an Orbitrap Velos system in higher-energy collision-induced dissociation activation mode. Protein identification employed a target-decoy strategy using ProteinPilot within Galaxy P. The relative protein abundance was determined with reference to a global internal standard consisting of pooled BALF from patients with respiratory failure and no history of HSCT. A variance weighted t-test controlling for a false discovery rate of <=5% was used to identify proteins that showed differential expression between IPS and infectious lung injury. The biological relevance of these proteins was determined by using gene ontology enrichment analysis and Ingenuity Pathway Analysis. We characterized 12 IPS and 18 infectious lung injury BALF samples. In the 5 iTRAQ LC-MS/MS experiments 845, 735, 532, 615, and 594 proteins were identified for a total of 1125 unique proteins and 368 common proteins across all 5 LC-MS/MS experiments. When comparing IPS to infectious lung injury, 96 proteins were differentially expressed. Gene ontology enrichment analysis showed that these proteins participate in biological processes involved in the development of lung injury after HSCT. These include acute phase response signaling, complement system, coagulation system, liver X receptor (LXR)/retinoid X receptor (RXR), and farsenoid X receptor (FXR)/RXR modulation. We identified 2 canonical pathways modulated by TNF-alpha, FXR/RXR activation, and IL2 signaling in macrophages. The proteins also mapped to blood coagulation, fibrinolysis, and wound healing-processes that participate in organ repair. Cell movement was identified as significantly over-represented by proteins with differential expression between IPS and infection. In conclusion, the BALF protein expression in IPS differed significantly from infectious lung injury in HSCT recipients. These differences provide insights into mechanisms that are activated in lung injury in HSCT recipients and suggest potential therapeutic targets to augment lung repair.
PXD004741	27158779	The ciliopathy-associated CPLANE proteins direct basal body recruitment of intraflagellar transport machinery. 	Mouse ciliopathy-associated CPLANE proteins	"Planar Cell Polarity", CPLANE, ciliopathy, "Human Genetics"	Cilia use microtubule-based intraflagellar transport (IFT) to organize intercellular signaling. Ciliopathies are a spectrum of human diseases resulting from defects in cilia structure or function. The mechanisms regulating the assembly of ciliary multiprotein complexes and the transport of these complexes to the base of cilia remain largely unknown. Combining proteomics, in vivo imaging and genetic analysis of proteins linked to planar cell polarity (Inturned, Fuzzy and Wdpcp), we identified and characterized a new genetic module, which we term CPLANE (ciliogenesis and planar polarity effector), and an extensive associated protein network. CPLANE proteins physically and functionally interact with the poorly understood ciliopathy-associated protein Jbts17 at basal bodies, where they act to recruit a specific subset of IFT-A proteins. In the absence of CPLANE, defective IFT-A particles enter the axoneme and IFT-B trafficking is severely perturbed. Accordingly, mutation of CPLANE genes elicits specific ciliopathy phenotypes in mouse models and is associated with ciliopathies in human patients.
PXD003922	27160897	Interaction of tau with the RNA-Binding Protein TIA1 Regulates tau Pathophysiology and Toxicity. 	TIA1 interactome from mouse cortex	Alzheimers disease, MAP, RNA binding protein, RNA metabolism, Stress, stress granule, translational regulation	Dendritic mislocalization of microtubule associated protein tau is a hallmark of tauopathies, but the role of dendritic tau is unknown. We now report that tau interacts with the RNA-binding protein (RBP) TIA1 in brain tissue, and we present the brain-protein interactome network for TIA1. Analysis of the TIA1 interactome in brain tissue from wild-type (WT) and tau knockout mice demonstrates that tau is required for normal interactions of TIA1 with proteins linked to RNA metabolism, including ribosomal proteins and RBPs. Expression studies show that tau regulates the distribution of TIA1, and tau accelerates stress granule (SG) formation. Conversely, TIA1 knockdown or knockout inhibits tau misfolding and associated toxicity in cultured hippocampal neurons, while overexpressing TIA1 induces tau misfolding and stimulates neurodegeneration. Pharmacological interventions that prevent SG formation also inhibit tau pathophysiology. These studies suggest that the pathophysiology of tauopathy requires an intimate interaction with RNA-binding proteins.
PXD002836	27161445	SWATH Mass Spectrometry Performance Using Extended Peptide MS/MS Assay Libraries. 	SWATH mass spectrometry performance using extended ion assay libraries	DIA, Extended library, SWATH	The use of data-independent acquisition methods such as SWATH for mass spectrometry based proteomics is usually performed with peptide MS/MS assay libraries which enable identification and quantitation of peptide peak areas. Reference assay libraries can be generated locally through information dependent acquisition, or obtained from community data repositories for commonly studied organisms. However, there have been no studies performed to systematically evaluate how locally generated or repository-based assay libraries affect SWATH performance for proteomic studies. To undertake this analysis, we developed a software workflow, SwathXtend, which generates extended peptide assay libraries by integration with a local seed library and delivers statistical analysis of SWATH-quantitative comparisons. We designed test samples using peptides from a yeast extract spiked into peptides from human K562 cell lysates at three different ratios to simulate protein abundance change comparisons. SWATH-MS performance was assessed using local and external assay libraries of varying complexities and proteome compositions. These experiments demonstrated that local seed libraries integrated with external assay libraries achieve better performance than local assay libraries alone, in terms of the number of identified peptides and proteins and the specificity to detect differentially abundant proteins. Our findings show that the performance of extended assay libraries is influenced by the MS/MS feature similarity of the seed and external libraries, while statistical analysis using multiple testing corrections increases the statistical rigor needed when searching against large extended assay libraries.
PXD004077	27161446	Identification and Characterization of Potential Biomarkers by Quantitative Tissue Proteomics of Primary Lung Adenocarcinoma. 	Quantitative tissue proteomics analysis of primary lung  adenocarcinoma	ERO1L, NARS, adenocarcinoma, biomarkers, iTRAQ, lung cancer, lymph node metastasis	Lung cancer is the leading cause of cancer-related death worldwide. Both diagnostic and prognostic biomarkers are urgently needed to increase patient survival. In this study, we identified/quantified 1763 proteins from paired adenocarcinoma (ADC) tissues with different extents of lymph node (LN) involvement using an iTRAQ-based quantitative proteomic analysis. Based on a bioinformatics analysis and literature search, we selected six candidates (ERO1L, PABPC4, RCC1, RPS25, NARS, and TARS) from a set of 133 proteins that presented a 1.5-fold increase in expression in ADC tumors without LN metastasis compared with adjacent normal tissues. These six proteins were further verified using immunohistochemical staining and Western blot analyses. The protein levels of these six candidates were higher in tumor tissues compared with adjacent normal tissues. The ERO1L and NARS levels were positively associated with LN metastasis. Importantly, ERO1L overexpression in patients with early-stage ADC was positively correlated with poor survival, suggesting that ERO1L overexpression in primary sites of early-stage cancer tissues indicates a high risk for cancer micrometastasis. Moreover, we found that knockdown of either ERO1L or NARS reduced the viability and migration ability of ADC cells. Our results collectively provide a potential biomarker data set for ADC diagnosis/prognosis and reveal novel roles of ERO1L and NARS in ADC progression.
PXD003136	27162549	Interleukin-6 Induced "Acute" Phenotypic Microenvironment Promotes Th1 Anti-Tumor Immunity in Cryo-Thermal Therapy Revealed By Shotgun and Parallel Reaction Monitoring Proteomics. 	Interleukin-6 induced â€˜acute' response promotes Th1 anti-tumor immunity in cryo-thermal therapy: shotgun proteomics	Th1 anti-tumor immunity, acute phase response, cryo-thermal therapy, interleukin-6, parallel reaction monitoring	Cryo-thermal therapy has been emerged as a promising novel therapeutic strategy for advanced breast cancer, triggering higher incidence of tumor regression and enhanced remission of metastasis than routine treatments. To better understand its anti-tumor mechanism, we utilized a spontaneous metastatic mouse model and quantitative proteomics to compare N-glycoproteome changes in 94 serum samples with and without treatment. We quantified 231 highly confident N-glycosylated proteins using iTRAQ shotgun proteomics. Among them, 53 showed significantly discriminated regulatory patterns over the time course, in which the acute phase response emerged as the most enhanced pathway. The anti-tumor feature of the acute response was further investigated using parallel reaction monitoring target proteomics and flow cytometry on 23 of the 53 significant proteins. We found that cryo-thermal therapy reset the tumor chronic inflammation to an "acute" phenotype, with up-regulation of acute phase proteins including IL-6 as a key regulator. The IL-6 mediated "acute" phenotype transformed IL-4 and Treg-promoting ICOSL expression to Th1-promoting IFN-gamma and IL-12 production, augmented complement system activation and CD86(+)MHCII(+) dendritic cells maturation and enhanced the proliferation of Th1 memory cells. In addition, we found an increased production of tumor progression and metastatic inhibitory proteins under such "acute" environment, favoring the anti-metastatic effect. Moreover, cryo-thermal on tumors induced the strongest "acute" response compared to cryo/hyperthermia alone or cryo-thermal on healthy tissues, accompanying by the most pronounced anti-tumor immunological effect. In summary, we demonstrated that cryo-thermal therapy induced, IL-6 mediated "acute" microenvironment shifted the tumor chronic microenvironment from Th2 immunosuppressive and pro-tumorigenic to Th1 immunostimulatory and tumoricidal state. Moreover, the magnitude of "acute" and "danger" signals play a key role in determining the efficacy of anti-tumor activity.
