PXD057299	39747972	Multi-omic biomarker panel in pancreatic cyst fluid and serum predicts patients at a high risk of pancreatic cancer development. 	Proteomic profiling of pancreatic cyst fluid in patients with pancreatic cystic lesions identifies novel biomarkers of pancreatic cancer risk	Biomarkers, LC-MS, Pancreatic Cancer, Pancreatic Cyst Fluid, Pancreatic Cystic Lesions, Risk	Integration of multi-omic data for the purposes of biomarker discovery can provide novel and robust panels across multiple biological compartments. Appropriate analytical methods are key to ensuring accurate and meaningful outputs in the multi-omic setting. Here, we extensively profile the proteome and transcriptome of patient pancreatic cyst fluid (PCF) (n = 32) and serum (n = 68), before integrating matched omic and biofluid data, to identify biomarkers of pancreatic cancer risk. Differential expression analysis, feature reduction, multi-omic data integration, unsupervised hierarchical clustering, principal component analysis, spearman correlations and leave-one-out cross-validation were performed using RStudio and CombiROC software. An 11-feature multi-omic panel in PCF [PIGR, S100A8, REG1A, LGALS3, TCN1, LCN2, PRSS8, MUC6, SNORA66, miR-216a-5p, miR-216b-5p] generated an AUC = 0.806. A 13-feature multi-omic panel in serum [SHROOM3, IGHV3-72, IGJ, IGHA1, PPBP, APOD, SFN, IGHG1, miR-197-5p, miR-6741-5p, miR-3180, miR-3180-3p, miR-6782-5p] produced an AUC = 0.824. Integration of the strongest performing biomarkers generated a 10-feature cross-biofluid multi-omic panel [S100A8, LGALS3, SNORA66, miR-216b-5p, IGHV3-72, IGJ, IGHA1, PPBP, miR-3180, miR-3180-3p] with an AUC = 0.970. Multi-omic profiling provides an abundance of potential biomarkers. Integration of data from different omic compartments, and across biofluids, produced a biomarker panel that performs with high accuracy, showing promise for the risk stratification of patients with pancreatic cystic lesions.
PXD058886	39749710	Application of integrated omics in aseptic loosening of prostheses after hip replacement. 	Application of integrated omics in aseptic loosening of prostheses after hip replacement	aseptic loosening, initial artificial hip joint, metabolomics, transcriptomics	Aseptic loosening (AL) of artificial hip joints is the most common complication following hip replacement surgery. A total of eight patients diagnosed with AL following total hip arthroplasty (THA) undergoing total hip replacement and eight control patients diagnosed with avascular necrosis of femoral head (ANFH) or femoral neck fracture undergoing THA were enrolled. The samples of the AL group were from synovial tissue surrounding the lining/head/neck of the prosthesis, and the samples of the control group were from the synovium in the joint cavity. The present study utilized second-generation high-throughput sequencing and mass spectrometry to detect differentially expressed genes, proteins and metabolites in the samples, as well as Gene Ontology and Kyoto Encyclopedia of Genes and Genomes analysis. Key genes cytokine receptor-like factor-1 (CRLF1) and glutathione-S transferase micro1 (GSTM1) expression levels were verified by reverse transcription-quantitative PCR and western blotting. The integrated transcriptomics, proteomics and untargeted metabolomics analyses revealed characteristic metabolite changes (biosynthesis of guanine, L-glycine and adenosine) and decreased CRLF1 and GSTM1 in AL, which were primarily associated with amino acid metabolism and lipid metabolism. In summary, the present study may uncover the underlying mechanisms of AL pathology and provide stable and accurate biomarkers for early warning and diagnosis.
PXD051592	39751400	MYO18B promotes lysosomal exocytosis by facilitating focal adhesion maturation. 	MYO18B promotes lysosomal exocytosis by facilitating focal adhesion maturation	Glycoproteomics, HEK293, Hela, MYO18B, THP1, lysosome, paucimannose	Many cancer cells exhibit increased amounts of paucimannose glycans, which are truncated N-glycan structures rarely found in mammals. Paucimannosidic proteins are proposedly generated within lysosomes and exposed on the cell surface through a yet uncertain mechanism. In this study, we revealed that paucimannosidic proteins are produced by lysosomal glycosidases and secreted via lysosomal exocytosis. Interestingly, lysosomal exocytosis preferentially occurred in the vicinity of focal adhesions, protein complexes connecting the actin cytoskeleton to the extracellular matrix. Through genome-wide knockout screening, we identified that MYO18B, an actin crosslinker, is required for focal adhesion maturation, facilitating lysosomal exocytosis and the release of paucimannosidic lysosomal proteins to the extracellular milieu. Moreover, a mechanosensitive cation channel PIEZO1 locally activated at focal adhesions imports Ca2+ necessary for lysosome-plasma membrane fusion. Collectively, our study unveiled an intimate relationship between lysosomal exocytosis and focal adhesion, shedding light on the unexpected interplay between lysosomal activities and cellular mechanosensing.
PXD043749	39753547	Mechanistic evaluation of enhanced graphene toxicity to Bacillus induced by humic acid adsorption. 	The effect of HA on the bacterial toxicity of GNSs	toxicity,HA,bacterial,graphene	The extensive application of graphene nanosheets (GNSs) has raised concerns over risks to sensitive species in the aquatic environment. The humic acid (HA) corona is traditionally considered to reduce GNSs toxicity. Here, we evaluate the effect of sorbed HA (GNSs-HA) on the toxicity of GNSs to Gram positive Bacillus tropicus. Contrary to previous data, GNSs-HA exhibits greater toxicity compared to GNSs. Multi-omics combined with sensitive bioassays and electrochemical methods reveals GNSs disrupt oxidative phosphorylation by causing physical membrane damage. This leads to the accumulation of intracellular reactive oxygen species and inhibition of ATP production, subsequently suppressing synthetic and metabolic processes and ultimately causing bacterial death. Conversely, GNSs-HA directly extracts electrons from bacteria and oxidized biomolecules due to HA-improved electron transfer. This finding suggests that the HA corona does not always mitigate the toxicity of nanoparticles, thereby introducing uncertainty over the interaction between environmental corona and nanoparticles during ecological risk evaluation.
PXD053103	39753558	Structures of Saccharolobus solfataricus initiation complexes with leaderless mRNAs highlight archaeal features and eukaryotic proximity. 	Cryo-EM Structures of 30S:mRNA Complexes in Saccharolobus solfataricus: Unveiling Archaeal Features and Eukaryotic Proximity	eS25, eS26, eS30, leaderless mRNA, translation initiation	The archaeal ribosome is of the eukaryotic type. TACK and Asgard superphyla, the closest relatives of eukaryotes, have ribosomes containing eukaryotic ribosomal proteins not found in other archaea, eS25, eS26 and eS30. Here, we investigate the case of Saccharolobus solfataricus, a TACK crenarchaeon, using mainly leaderless mRNAs. We characterize the small ribosomal subunit of S. solfataricus bound to SD-leadered or leaderless mRNAs. Cryo-EM structures show eS25, eS26 and eS30 bound to the small subunit. We identify two ribosomal proteins, aS33 and aS34, and an additional domain of eS6. Leaderless mRNAs are bound to the small subunit with contribution of their 5'-triphosphate group. Archaeal eS26 binds to the mRNA exit channel wrapped around the 3' end of rRNA, as in eukaryotes. Its position is not compatible with an SD:antiSD duplex. Our results suggest a positive role of eS26 in leaderless mRNAs translation and possible evolutionary routes from archaeal to eukaryotic translation.
PXD056061	39753660	Accelerated aging modulates the toxicological properties of the diazo tattoo pigment PO13. 	Accelerated aging modulates the toxicological properties of the diazo tattoo pigment Po13	Tattoo, nanoLC-MS/MS, skin toxicity	Pigment particles used in tattooing may exert long terms effect by releasing diffusible degradation products. In the present work, aqueous suspensions of the organic orange diazo pigment PO13 were aged by exposure to simulated sunlight at 40 degreesC. The morphology and the surface charge of PO13 particles were barely modified upon aging, but primary particles were released by de-agglomeration. Soluble photoproducts were detected in the liquid fractions. One of this photoproduct (DCBP) was produced in large amount in suspension in isopropanol and purified. The toxicological profiles of aged suspensions, their soluble fractions and DCBP were then determined on the keratinocyte cell line HaCaT. Impact of suspensions of PO13 on viability was hardly affected by aging. In contrast, the soluble fractions were more toxic after photo-aging. Suspensions and filtrates induced neither release of reactive oxygen species nor formation of DNA strand breaks. The samples exhibited only limited effects on the proteome of HaCaT cells. Conversely, DCBP was cytotoxic and induced the production of ROS, but was not genotoxic. DCBP was found to activate CYP450 monooxygenases known to be involved in the metabolism of xenobiotics. Altogether, our results show that aging of PO13 leads to the release of toxic soluble compounds.
PXD048458	39755117	Rice extracellular vesicles send defense proteins into fungus Rhizoctonia solani to reduce disease. 	Oryza sativa extracellular vesicles proteins	extracellular vesicles, plants interacting with pathogens	The exchange of molecular information across kingdoms is crucial for the survival of both plants and their pathogens. Recent research has identified that plants transfer their small RNAs and microRNAs into fungal pathogens to suppress infection. However, whether and how plants send defense proteins into pathogens remains unknown. Here, we report that rice (Oryza sativa) plants package defense proteins into extracellular vesicles (EVs) and deliver them to the fungal pathogen Rhizoctonia solani. These EVs, enriched with host defense proteins, are internalized by the fungal cells. Reducing the transfer of host defense proteins via EVs results in increased disease susceptibility. Furthermore, the overexpression of host defense proteins in either rice plants or the fungal cells reduced the infection. Therefore, plants use EVs to send defense proteins into fungal pathogens, thereby combating infection. This mechanism represents a form of protein exchange between plants and pathogens, which contributes to reducing crop diseases.
PXD053274	39755278	Blood-based diagnosis of pediatric tuberculosis: a prospective cohort study in South Africa and Dominican Republic. 	Blood-based Diagnostics of Pediatric Tuberculosis: A Prospective Case-controlled Study	Non-sputum-based diagnostics, Pediatric tuberculosis	OBJECTIVES: Pediatric tuberculosis (TB) diagnosis is complicated by challenges in obtaining invasive respiratory specimens that frequently contain few Mycobacterium tuberculosis (Mtb) bacilli. We report the diagnostic performance of an Mtb antigen-derived peptide (MAP-TB) assay and its ability to monitor TB treatment response. METHODS: Study cohorts enrolled children who presented with presumptive TB at two hospitals in South Africa from 2012 to 2017 (157 children aged <13 years) and at community-based clinics in the Dominican Republic from 2019 to 2023 (101 children aged <18 years). Children were evaluated for TB at enrollment and six months post-enrollment and assigned confirmed, unconfirmed, or unlikely TB diagnoses using the 2015 NIH diagnostic criteria for pediatric TB. MAP-TB assay performance was evaluated using serum collected at baseline and at regular intervals post-enrollment following STARD guidelines. RESULTS: MAP-TB sensitivity for confirmed and unconfirmed TB was comparable to culture and Xpert sensitivity for confirmed TB, but MAP-TB specificity revealed age-dependence, decreasing from 98.1% to 78.4%, when including children aged <1 year. MAP-TB values decreased by six months post-treatment initiation in children with symptom improvement. CONCLUSIONS: Serum MAP-TB results can effectively diagnose pediatric TB, including unconfirmed and extrapulmonary TB missed by current methods, and correspond to effective treatment.
PXD054649	39755759	Investigating proteogenomic divergence in patient-derived xenograft models of ovarian cancer. 	Of mice and models: Investigating proteogenomic divergence in patient-derived xenograft models of ovarian cancer	ovarian cancer, patient-derived xenograft models (PDX), proteogenomics	Within ovarian cancer research, patient-derived xenograft (PDX) models recapitulate histologic features and genomic aberrations found in original tumors. However, conflicting data from published studies have demonstrated significant transcriptional differences between PDXs and original tumors, challenging the fidelity of these models. We employed a quantitative mass spectrometry-based proteomic approach coupled with generation of patient-specific databases using RNA-seq data to investigate the proteogenomic landscape of serially-passaged PDX models established from two patients with distinct subtypes of ovarian cancer. We demonstrate that the utilization of patient-specific databases guided by transcriptional profiles increases the depth of human protein identification in PDX models. Our data show that human proteomes of serially passaged PDXs differ significantly from their patient-derived tumor of origin. Analysis of differentially abundant proteins revealed enrichment of distinct biological pathways with major downregulated processes including extracellular matrix organization and the immune system. Finally, we investigated the relative abundances of ovarian cancer-related proteins identified from the Cancer Gene Census across serially passaged PDXs, and found their protein levels to be unstable across PDX models. Our findings highlight features of distinct and dynamic proteomes of serially-passaged PDX models of ovarian cancer.
PXD057184	39757296	Structural insights into the interplay between microtubule polymerases, gamma-tubulin complexes and their receptors. 	Hydrogen exchange mass spectrometry analysis of the Spc72-Stu2 complex	microtubuli, spindle pole body, gamma-tubulin small complex	The gamma-tubulin ring complex (gamma-TuRC) is a structural template for controlled nucleation of microtubules from alpha/beta-tubulin heterodimers. At the cytoplasmic side of the yeast spindle pole body, the CM1-containing receptor protein Spc72 promotes gamma-TuRC assembly from seven gamma-tubulin small complexes (gamma-TuSCs) and recruits the microtubule polymerase Stu2, yet their molecular interplay remains unclear. Here, we determine the cryo-EM structure of the Candida albicans cytoplasmic nucleation unit at 3.6 Aa resolution, revealing how the gamma-TuRC is assembled and conformationally primed for microtubule nucleation by the dimerised Spc72 CM1 motif. Two coiled-coil regions of Spc72 interact with the conserved C-terminal alpha-helix of Stu2 and thereby position the alpha/beta-tubulin-binding TOG domains of Stu2 in the vicinity of the microtubule assembly site. Collectively, we reveal the function of CM1 motifs in gamma-TuSC oligomerisation and the recruitment of microtubule polymerases to the gamma-TuRC.
PXD042171	39757301	Nonenzymatic lysine D-lactylation induced by glyoxalase II substrate SLG dampens inflammatory immune responses. 	Quantification of lactylation in mouse peritoneal macrophages with or without stimulation of VSV by LS-MS/MS	Lactylation, Quantification, VSV, mouse peritoneal macrophages	Immunometabolism is critical in the regulation of immunity and inflammation; however, the mechanism of preventing aberrant activation-induced immunopathology remains largely unclear. Here, we report that glyoxalase II (GLO2) in the glycolysis branching pathway is specifically downregulated by NF-kappaB signaling during innate immune activation via tristetraprolin (TTP)-mediated mRNA decay. As a result, its substrate S-D-lactoylglutathione (SLG) accumulates in the cytosol and directly induces D-lactyllysine modification of proteins. This nonenzymatic lactylation by SLG is greatly facilitated by a nearby cysteine residue, as it initially reacts with SLG to form a reversible S-lactylated thiol intermediate, followed by SN-transfer of the lactyl moiety to a proximal lysine. Lactylome profiling identifies 2255 lactylation sites mostly in cytosolic proteins of activated macrophages, and global protein structure analysis suggests that proximity to a cysteine residue determines the susceptibility of lysine to SLG-mediated D-lactylation. Furthermore, lactylation is preferentially enriched in proteins involved in immune activation and inflammatory pathways, and D-lactylation at lysine 310 (K310) of RelA attenuates inflammatory signaling and NF-kappaB transcriptional activity to restore immune homeostasis. Accordingly, TTP-binding site mutation or overexpression of GLO2 in vivo blocks this feedback lactylation in innate immune cells and promotes inflammation, whereas genetic deficiency or pharmacological inhibition of GLO2 restricts immune activation and attenuates inflammatory immunopathology both in vitro and in vivo. Importantly, dysregulation of the GLO2/SLG/D-lactylation regulatory axis is closely associated with human inflammatory phenotypes. Overall, our findings uncover an immunometabolic feedback loop of SLG-induced nonenzymatic D-lactylation and implicate GLO2 as a promising target for combating clinical inflammatory disorders.
PXD035806	39758249	Enhancing immune response and survival in hepatocellular carcinoma with novel oncolytic Jurona virus and immune checkpoint blockade. 	Comprehensive Proteogenomic Analysis of the Anti-tumor Immunoactivity of a Novel Oncolytic Vesiculovirus in Hepatocellular Carcinoma	Jurona virus, Rhabdoviruses, hepatocellular carcinoma, oncolytic virotherapy	Members of the Vesiculovirus genus including Jurona virus (JURV) have emerged as promising immunotherapeutic agents, characterized by their tumor selectivity, fast kinetics, low seroprevalence, and minimal toxicity in humans. Here, we demonstrate that the administration of JURV leads to tumor regression in both hepatocellular carcinoma (HCC) xenograft and syngeneic models. Furthermore, our findings indicate that combining JURV and anti-PD-1 therapy reduced tumor burden and improved survival rates over JURV or anti-PD-1 alone in an orthotopic HCC model. Proteogenomic analysis of JURV-treated, murine HCC tumors demonstrates that the therapeutic effects of the combination of JURV and anti-PD-1 are predominantly driven by coordinated activation of immune effectors, which modulate the tumor microenvironment into a state conducive to anti-tumor activity. Our results establish JURV as a potent candidate for immunovirotherapy in HCC, capable of modulating immune response and synergizing with standard of care for HCC to prolong survival in preclinical models. Further, this research deepens our understanding of JURV's anti-tumoral mechanisms and highlights its potential as a novel approach to HCC treatment strategies.
PXD058887	39759229	Integrated metabolomics and proteomics analysis reveals the accumulation mechanism of bioactive components in Polygonatum odoratum. 	Integrated proteomics and metabolomic analyses reveal the accumulation mechanism of bioactive components in Polygonatum odoratum	Polygonatum odoratum, flavonoids, metabolome, steroidal saponins	Polygonatum odoratum (Mill.) Druce is rich in bioactive components with high medicinal value. To maximize the clinical benefits, it is of great significance to efficiently extract key bioactive components from appropriate growth stages in which they are most abundant. In this study, we analyzed the changes of metabolite accumulation and protein expression in P. odoratum rhizomes at different growth stages using targeted metabolomics combined with proteomics, and identified a total of 1,237 differentially abundant metabolites (DAMs). Flavonoids accumulated most in winter, and the biosynthesis pathways associated with flavonoids, isoflavonoids, flavones and flavonols exhibited significant differentially expressed proteins (DEPs). Among them, PGT, FLS, CYP75B1, HIDH, IF7MAT, and UFT73C6 were positively correlated with flavonoid accumulation. Steroid saponins accumulated most in spring, and the biosynthetic pathways of steroid and brassinosteroid biosynthesis exhibited DEPs. Among them, FDFT1, TM7SF2, DHCR7, CAS1, and 3BETAHSDD were positively correlated with steroidal saponin accumulation. In summary, these results revealed the accumulation of secondary metabolites P. odoratum in different growth stages, which can provide an effective reference for the extraction of specific bioactive components and the study of their regulatory mechanisms.
PXD058130	39761348	Proteomics- and metabolomics-based analysis of the regulation of germination in Norway maple and sycamore embryonic axes. 	Proteomics- and metabolomics-based analysis of the regulation of germination in Norway maple and sycamore embryonic axes	Acer platanoides, Acer pseudoplatanus, metabolite profiling, methionine sulfoxide, posttranslational modification, redox status, seed physiology, vitamin B.	Norway maple and sycamore belong to the Acer genus and produce desiccation-tolerant and desiccation-sensitive seeds, respectively. We investigated the seed germination process at the imbibed and germinated stages using metabolomic and proteomic approaches to determine why sycamore seeds germinate earlier and are more successful at establishing seedlings than Norway maple seeds under controlled conditions. Embryonic axes and embryonic axes with protruded radicles were analyzed at the imbibed and germinated stages, respectively. Among the 212 identified metabolites, 44 and 67 differentially abundant metabolites were found at the imbibed and germinated stages, respectively, in both Acer species. Higher levels of amines, growth and defense stimulants, including B vitamins, were found in sycamore. We identified 611 and 447 proteins specific to the imbibed and germinated stages, respectively, in addition to groups of proteins expressed at different levels. Functional analysis of significantly regulated proteins revealed that proteins with catalytic and binding activity were enriched during germination, and proteins possibly implicated in nitrogen metabolism and metabolite interconversion enzymes were the predominant classes. Proteins associated with the control of plant growth regulation and seed defense were observed in both species at both germination stages. Sycamore proteins possibly involved in abscisic acid signal transduction pathway, stress tolerance and alleviation, ion binding and oxygenase activities appeared to accompany germination in sycamore. We identified peptides containing methionine (Met) oxidized to methionine sulfoxide (MetO), and functional analyses of proteins with significantly regulated MetO sites revealed that translation, plant growth and development, and metabolism of nitrogen compounds were the main processes under Met/MetO redox control. We propose that higher levels of storage proteins and amines together with higher levels of B vitamins supported more efficient nitrogen utilization in sycamore, resulting in faster seedling growth. In conclusion, omic signatures identified in sycamore seem to predispose germinated sycamore seeds to better postgerminative growth.
PXD061409	39761842	Mass Spectrometric Detection of Keratins in Tear Fluid. 	Mass spectrometric detection of keratins in tear fluid	Biomarkers, Keratins, Schirmer strip, Tear fluid	PURPOSE: Keratin contamination is a common problem in mass spectrometry proteomic analyses, particularly in bottom-up mass spectrometry. The purpose of this study was to determine the protein contaminants introduced during the proteomic analysis of tear fluid. METHODS: Human tear fluid samples were collected using Schirmer strips. Proteomic analyses were performed using liquid chromatography-tandem mass spectrometry (LC-MS/MS) on blank Schirmer strips and tear fluid samples, with empty vials serving as controls for assessing environmental contaminant proteins. RESULTS: We detected 26 contaminant proteins (18 keratins and 8 non-keratins). 98.2% of the total protein contamination can be attributed to the 9 keratins, including KRT10 (23.6%), KRT1 (23.5%), KRT2 (15.7%), KRT14 (7.6%), KRT16 (7.0%), KRT5 (6.1%), KRT9 (5.9%), KRT6B (4.6%), and KRT6A (4.3%). A comparison to the proteomic profile of blank Schirmer strips and controls (empty vials) found a strong correlation (R(2)=0.9753), indicating that these proteins were not from the blank Schirmer strips but are environmental contaminants. On the other hand, several keratins including KRT19, KRT13, KRT4, KRT7, KRT15, KRT8 and KRT18 were present in tear fluid, but either not detected or were negligible in blank strips. Another set of keratins, including KRT5, KRT6A, KRT14, KRT16, and KRT17, were identified as components of tear fluid as well as environmental contaminants. CONCLUSIONS: This study revealed nine major contaminant keratins in the mass spectrometry analysis. Several other keratins were identified as constituents of tear fluid. Background subtraction is necessary for the accurate analysis of tear fluid using mass spectrometry.
PXD054039	39761918	Elevated Levels of Serum Alpha-2-Macroglobulin Associate with Diabetes Status and Incident Cardiovascular Disease in Type 1 Diabetes. 	Serum Alpha-2-Macroglobulin Links Type 1 Diabetes Status and Incident Cardiovascular Disease	Alpha-2-macroglobulin, Cox proportional regression, MS, atherosclerosis, case-cohort design, incident cardiovascular disease, parallel reaction monitoring, proteomics.	BACKGROUND: Atherosclerotic cardiovascular disease (CVD) is a major cause of death in individuals with type 1 diabetes mellitus (T1DM). However, conventional risk factors do not fully account for the increased risk. This study aimed to investigate whether serum proteins associate with diabetes status and the occurrence of CVD in T1DM. STUDY DESIGN: We used isotope dilution-tandem mass spectrometry to quantify 28 serum proteins in 228 subjects participating in the prospective Coronary Artery Calcification in Type 1 Diabetes study. We used linear regression to analyze the association between serum protein levels and T1DM status using 47 healthy controls and 134 T1DM patients without CVD and Cox proportional hazards regression to assess their prediction for incident CVD by a case-cohort study using a subcohort of 145 T1DM subjects and a total of 47 CVD events. FINDINGS: Out of the 28 serum proteins studied, 5 of them-alpha-2-macroglobulin (A2M), apolipoprotein A-IV, apolipoprotein L1, insulin-like growth factor 2, and phospholipid transfer protein-were significantly associated with T1DM status, with A2M being 1.6-fold higher in T1DM. After adjusting for potential confounders, A2M independently predicted incident CVD, with a mean hazard ratio of 3.3 and 95% confidence interval of 1.8-6.1. CONCLUSIONS: In our study, A2M showed the largest increase in serum levels when comparing patients with T1DM to control subjects. A2M also predicted incident CVD, suggesting that it could serve as both a marker and possibly a mediator of atherosclerosis in T1DM. These findings emphasize the importance of specific serum proteins in assessing and managing CVD risk in T1DM.
PXD049800	39765309	Matrix-mediated activation of murine fibroblast-like synoviocytes. 	Matrix-mediated activation of fibroblasts in rheumatoid arthritis	chondrocytes, cytokines, extracellular matrix, fibroblast-like synoviocytes	Fibroblast-like synoviocytes (FLS) are key cells promoting cartilage damage and bone loss in rheumatoid arthritis (RA). They are activated to assume an invasive and migratory phenotype. While mechanisms of FLS activation are unknown, evidence suggests that pre-damaged extracellular matrix (ECM) of the cartilage can trigger FLS activation. Integrin alpha11beta1 might be involved in the activation, as it is increased in RA patients and hTNFtg mice, an RA mouse model. We treated murine chondrocytes with TNFalpha to produce a damaged, RA-like matrix. Comparison to healthy chondrocyte matrix revealed decreased ECM proteins, e.g. collagens and proteoglycans, increased matrix-degrading proteins and elevated levels of inflammatory cytokines. FLS responded to the damaged chondrocyte matrix with a matrix-remodeling and pro-inflammatory phenotype characterized by a gene signature involved in matrix degradation and increased production of CLL11 and CCL19. Damaged chondrocyte matrix stimulated increased Itga11 expression in FLS, correlating with the increased alpha11beta1 amounts in RA patients. FLS deficient in integrin alpha11beta1 released lower amounts of inflammation-associated cytokines. Our results demonstrate differences in healthy and RA-like chondrocyte ECM and distinctly different responses of wt FLS to damaged versus healthy ECM.
PXD046383	39765814	Elaeagnus latifolia Fruit Extract Ameliorates High-Fat Diet-Induced Obesity in Mice and Alleviates Macrophage-Induced Inflammation in Adipocytes In Vitro. 	Effects of Elaeagnus latifolia extract on anti-inflammation in LPS-induced macrophages	Elaeagnus latifolia, anti-Inflammation, anti-oxidation, macrophages, polyphenol	Elaeagnus latifolia (EL) is a wild fruit known for containing several health-promoting compounds. This study aimed to evaluate the effects of EL fruit extract on high-fat diet (HFD)-induced obesity and lipopolysaccharide (LPS)-activated macrophages. Mice fed an HFD and given EL fruit extract for 10 weeks exhibited significantly lower body weight, reduced lipid accumulation, diminished oxidative stress in adipocytes, and decreased macrophage infiltration compared to those not receiving the EL extract. Moreover, the EL fruit extract activated the transcription factors Pparg and Cebpa, initiating adipogenesis and modulating the expression of NF-kappaB/Nrf-2-induced target genes. This resulted in smaller adipocyte size, reduced inflammation, and less oxidative stress in HFD-fed mice. In vitro, the EL extract induced a shift in macrophage phenotype from M1 to M2, reduced IkappaBalpha/NF-kappaB phosphorylation, and effectively decreased energy production in macrophages by downregulating the expression of several proteins involved in glycolysis and the tricarboxylic acid cycle. This mechanistic study suggests that administering EL fruit extract could be an effective strategy for managing obesity and its associated pathologies.
PXD055327	39765827	The Novel Elemene Derivative, OMe-Ph-Elemene, Attenuates Oxidative Phosphorylation and Facilitates Apoptosis by Inducing Intracellular Reactive Oxygen Species. 	OMe-Ph-Elemene treated colorectal cancer cells for proteomics sequencing	apoptosis, colorectal cancer, oxidative phosphorylation, oxidative stress, beta-Elemene	The incidence and mortality rates of colorectal cancer have been steadily increasing, making it one of the most prevalent cancers globally. Although current chemotherapy drugs have shown some efficacy in treating this disease, their associated side effects necessitate the development of more effective treatments and medications. The clinical application of elemene is widely utilized in tumor treatment; however, its efficacy is hindered by the requirement for high dosage and suboptimal anticancer effects. Thus, we have made modifications and enhancements to elemene, resulting in the development of a novel compound named (E)-8-(3,4,5-OMe-Ph)-beta-Elemene (abbreviated as OMe-Ph-Elemene) that demonstrates significantly enhanced efficacy in suppressing colorectal cancer. We conducted an in vivo study and demonstrated the potential of OMe-Ph-Elemene in suppressing the growth of colorectal cancer xenograft tumors in zebrafish. The in vitro experiments revealed that OMe-Ph-Elemene effectively inhibited the proliferation and migration of colorectal cancer SW480 and HT-29 cells by inducing reactive oxygen species (ROS)-caused apoptosis and inhibiting mitochondrial oxidative phosphorylation. The mechanism was elucidated through high-throughput proteomic analysis and molecular biological analysis, revealing that OMe-Ph-Elemene induced cellular oxidative stress by downregulating CISD3 and promoted cell apoptosis by downregulating TRIAP1 and upregulating HMOX1. Furthermore, OMe-Ph-Elemene suppressed colorectal cancer cells' mitochondrial oxidative phosphorylation by downregulating NDUFA7. In summary, the utilization of the elemene parent nucleus structure has led to the derivation of a novel tumor suppressor compound characterized by high efficacy and low toxicity, thereby providing a significant reference for the development of innovative drugs for colorectal cancer treatment.
PXD053542	39766137	Phosphoproteomic Profiling Reveals mTOR Signaling in Sustaining Macrophage Phagocytosis of Cancer Cells. 	Proteomic response of macrophages to human cancer Raji cells	macrophages, phosphorylation	Background: Macrophage-mediated cancer cell phagocytosis has demonstrated considerable therapeutic potential. While the initiation of phagocytosis, facilitated by interactions between cancer cell surface signals and macrophage receptors, has been characterized, the mechanisms underlying its sustentation and attenuation post-initiation remain poorly understood. Methods: Through comprehensive phosphoproteomic profiling, we interrogated the temporal evolution of the phosphorylation profiles within macrophages during cancer cell phagocytosis. Results: Our findings reveal that activation of the mTOR pathway occurs following the initiation of phagocytosis and is crucial in sustaining phagocytosis of cancer cells. mTOR inhibition impaired the phagocytic capacity, but not affinity, of the macrophages toward the cancer cells by delaying phagosome maturation and impeding the transition between non-phagocytic and phagocytic states of macrophages. Conclusions: Our findings delineate the intricate landscape of macrophage phagocytosis and highlight the pivotal role of the mTOR pathway in mediating this process, offering valuable mechanistic insights for therapeutic interventions.
PXD052320	39769326	Integrated Transcriptomic, Proteomic, and Metabolomic Analyses Revealed Molecular Mechanism for Salt Resistance in Soybean (Glycine max L.) Seedlings. 	Proteome changes of soybean leaves after 24 h of 300 mM Nacl stress	soybean LC-MS leaf	Salt stress poses a significant challenge to plant growth and restricts agricultural development. To delve into the intricate mechanisms involved in soybean's response to salt stress and find targets to improve the salt resistance of soybean, this study integrated transcriptomic, proteomic, and metabolomic analyses to explore the regulatory networks involved in soybean salt tolerance. Transcriptomic analysis revealed significant changes in transcription factors, hormone-related groups, and calcium ion signaling. Notably, the biosynthetic pathways of cutin, suberine, and wax biosynthesis play an important role in this process. Proteomic results indicated salt-induced DNA methylation and the enrichment of phosphopyruvate hydrase post-salt stress, as well as its interaction with enzymes from various metabolic pathways. Metabolomic data unveiled the synthesis of various metabolites, including lipids and flavonoids, in soybean following salt stress. Furthermore, the integrated multiomics results highlighted the activation of multiple metabolic pathways in soybean in response to salt stress, with six pathways standing out prominently: stilbenoid, diarylheptanoid, and gingerol biosynthesis; carotenoid biosynthesis; carbon fixation in photosynthetic organisms; alanine, aspartate, and glutamate metabolism; thiamine metabolism; and pyruvate metabolism. These findings not only offer valuable insights into leveraging multiomics profiling techniques for uncovering salt tolerance mechanisms but also identify candidate genes for soybean improvement.
